"evidence_id","master_id","canonical_name","field_name","field_value","evidence_url","source_authority","evidence_type","evidence_text","confidence","retrieved_date","evidence_status","publication_status"
"meity_field_evidence_147173e17ea741687247_official_page_url_v34201","147173e17ea741687247","SAMRIDH","official_page_url","https://msh.meity.gov.in/schemes/samridh","https://msh.meity.gov.in/schemes/samridh","MeitY Startup Hub","OFFICIAL_SCHEME_PAGE","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_owning_ministry_v34201","147173e17ea741687247","SAMRIDH","owning_ministry","Ministry of Electronics and Information Technology (MeitY)","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_platform_host_v34201","147173e17ea741687247","SAMRIDH","platform_host","MeitY Startup Hub (MSH)","https://msh.meity.gov.in/schemes/samridh","MeitY Startup Hub","OFFICIAL_SCHEME_PAGE","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_programme_owner_v34201","147173e17ea741687247","SAMRIDH","programme_owner","Ministry of Electronics and Information Technology (MeitY)","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_programme_status_v34201","147173e17ea741687247","SAMRIDH","programme_status","CURRENT_SCHEME_INFORMATION_AVAILABLE","https://msh.meity.gov.in/schemes/samridh","MeitY Startup Hub","OFFICIAL_SCHEME_PAGE","The official scheme page remains available as a current scheme-information reference. This does not establish an open application window.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_record_kind_v34201","147173e17ea741687247","SAMRIDH","record_kind","SCHEME","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official source establishes this permanent identity as a government scheme rather than a cohort, call, application window or result notice.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_startup_stage_v34201","147173e17ea741687247","SAMRIDH","startup_stage","Potential technology and software-product startups requiring acceleration from product or prototype development towards commercialization and growth.","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_application_process_v34201","6af79cf6c8a213dddce8","TIDE 2.0","application_process","During the approved implementation period, eligible entrepreneurs and startups accessed support through participating TIDE 2.0 incubation centres. The permanent scheme record does not provide a currently open central application route.","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_application_status_v34201","6af79cf6c8a213dddce8","TIDE 2.0","application_status","NO_CURRENT_APPLICATION_ROUTE_CONFIRMED","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The approved implementation period has ended and no current central application route is recorded.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_beneficiary_type_v34201","6af79cf6c8a213dddce8","TIDE 2.0","beneficiary_type","Designated incubation centres, technology entrepreneurs and ICT or emerging-technology startups supported through those centres.","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_benefits_v34201","6af79cf6c8a213dddce8","TIDE 2.0","benefits","Financial and technical incubation support, mentoring, ecosystem linkages and stage-based startup assistance through approved TIDE 2.0 incubation centres.","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_canonical_name_v34201","6af79cf6c8a213dddce8","TIDE 2.0","canonical_name","TIDE 2.0","https://msh.meity.gov.in/schemes/tide","MeitY Startup Hub","OFFICIAL_SCHEME_PAGE","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_currency_v34201","6af79cf6c8a213dddce8","TIDE 2.0","currency","INR","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_eligibility_v34201","6af79cf6c8a213dddce8","TIDE 2.0","eligibility","The approved implementation model operated through designated incubation centres at institutes of higher learning and research organisations. Downstream support was intended for technology startups and entrepreneurs working with emerging technologies in approved thematic areas. No current application eligibility or open application window has been verified.","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_funding_context_v34201","6af79cf6c8a213dddce8","TIDE 2.0","funding_context","The administrative approval provided support up to INR 4 lakh for Entrepreneur-in-Residence idea-to-proof-of-concept activity, up to INR 7 lakh for prototype-development grants and up to INR 40 lakh for product-development and market-outreach investment. These were historical stage-specific limits, not one universal grant.","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_funding_maximum_v34201","6af79cf6c8a213dddce8","TIDE 2.0","funding_maximum","4000000","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official administrative approval provides historical product-development and market-outreach investment support up to INR 40 lakh.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_guideline_url_v34201","6af79cf6c8a213dddce8","TIDE 2.0","guideline_url","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_implementing_agency_v34201","6af79cf6c8a213dddce8","TIDE 2.0","implementing_agency","Innovation and IPR Division, MeitY, in association with 51 incubation centres","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_notification_url_v34201","6af79cf6c8a213dddce8","TIDE 2.0","notification_url","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_objective_v34201","6af79cf6c8a213dddce8","TIDE 2.0","objective","Promote technology entrepreneurship through financial and technical support to incubators supporting ICT and emerging-technology startups addressing areas of societal relevance.","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_official_abbreviation_v34201","6af79cf6c8a213dddce8","TIDE 2.0","official_abbreviation","TIDE 2.0","https://msh.meity.gov.in/schemes/tide","MeitY Startup Hub","OFFICIAL_SCHEME_PAGE","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_official_page_url_v34201","6af79cf6c8a213dddce8","TIDE 2.0","official_page_url","https://msh.meity.gov.in/schemes/tide","https://msh.meity.gov.in/schemes/tide","MeitY Startup Hub","OFFICIAL_SCHEME_PAGE","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_official_scheme_end_date_v34201","6af79cf6c8a213dddce8","TIDE 2.0","official_scheme_end_date","2024-01-31","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official administrative approval specifies completion of the five-year TIDE 2.0 implementation period on 31 January 2024.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_owning_ministry_v34201","6af79cf6c8a213dddce8","TIDE 2.0","owning_ministry","Ministry of Electronics and Information Technology (MeitY)","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_platform_host_v34201","6af79cf6c8a213dddce8","TIDE 2.0","platform_host","MeitY Startup Hub (MSH)","https://msh.meity.gov.in/schemes/tide","MeitY Startup Hub","OFFICIAL_SCHEME_PAGE","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_programme_owner_v34201","6af79cf6c8a213dddce8","TIDE 2.0","programme_owner","Ministry of Electronics and Information Technology (MeitY)","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_programme_status_v34201","6af79cf6c8a213dddce8","TIDE 2.0","programme_status","HISTORICAL_INFORMATION_ONLY","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official administrative approval establishes the historical implementation period ending on 31 January 2024.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_record_kind_v34201","6af79cf6c8a213dddce8","TIDE 2.0","record_kind","SCHEME","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source establishes this permanent identity as a government scheme rather than a cohort, call, application window or result notice.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_6af79cf6c8a213dddce8_startup_stage_v34201","6af79cf6c8a213dddce8","TIDE 2.0","startup_stage","Idea to proof of concept through Entrepreneur-in-Residence support; prototype development through grants; and product development or market outreach through investment support.","https://msh.meity.gov.in/assets/Administrative%20Approval_TIDE%202.0.pdf","Ministry of Electronics and Information Technology","OFFICIAL_ADMINISTRATIVE_APPROVAL","The official source supports the governed value recorded for this field.","0.99","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
